id,slug,name,country,region,timezone,lat,lng,population
rabat,rabat,Rabat,MA,,Africa/Casablanca,34.01,-6.83,1655753
recife,recife,Recife,BR,,America/Recife,-8.05,-34.88,1653461
phoenix,phoenix,Phoenix,US,Arizona,America/Phoenix,33.45,-112.07,1650070
suzhou_cn_anhui,suzhou_cn_anhui,Suzhou,CN,Anhui,Asia/Shanghai,33.64,116.98,1647642
ecatepecdemorelos,ecatepecdemorelos,Ecatepec de Morelos,MX,,America/Mexico_City,19.6,-99.06,1645352
luan,luan,Lu’an,CN,,Asia/Shanghai,31.74,116.52,1644344
valencia,valencia,Valencia,VE,,America/Caracas,10.16,-68,1619470
ludhiana,ludhiana,Ludhiana,IN,,Asia/Kolkata,30.91,75.85,1618879
yancheng,yancheng,Yancheng,CN,Jiangsu,Asia/Shanghai,33.36,120.16,1615717
novosibirsk,novosibirsk,Novosibirsk,RU,,Asia/Novosibirsk,55.02,82.93,1612833
erbil,erbil,Erbil,IQ,,Asia/Baghdad,36.19,44.01,1612700
fukuoka,fukuoka,Fukuoka,JP,,Asia/Tokyo,33.6,130.42,1612392
taizhou,taizhou,Taizhou,CN,Jiangsu,Asia/Shanghai,32.49,119.91,1607108
daqing,daqing,Daqing,CN,,Asia/Shanghai,46.58,125,1604027
mnl,manila,Manila,PH,,Asia/Manila,14.6,120.98,1600000
wuhu,wuhu,Wuhu,CN,Anhui,Asia/Shanghai,31.35,118.43,1598165
santiagodequeretaro,santiagodequeretaro,Santiago de Querétaro,MX,,America/Mexico_City,20.59,-100.39,1594212
dazhou,dazhou,Dazhou,CN,Sichuan,Asia/Shanghai,31.21,107.46,1589435
yangzhou,yangzhou,Yangzhou,CN,Jiangsu,Asia/Shanghai,32.4,119.44,1584237
leondelosaldama,leondelosaldama,León de los Aldama,MX,,America/Mexico_City,21.12,-101.68,1579803
makkah,makkah,Makkah,SA,,Asia/Riyadh,21.43,39.83,1578722
philly,philadelphia,Philadelphia,US,Pennsylvania,America/New_York,39.95,-75.16,1573916
phnompenh,phnompenh,Phnom Penh,KH,,Asia/Phnom_Penh,11.56,104.92,1573544
guilin,guilin,Guilin,CN,Guangxi,Asia/Shanghai,25.28,110.3,1572300
damascus,damascus,Damascus,SY,,Asia/Damascus,33.51,36.29,1569394
quetta,quetta,Quetta,PK,,Asia/Karachi,30.18,67,1565546
zhaoqing,zhaoqing,Zhaoqing,CN,,Asia/Shanghai,23.05,112.46,1553109
onitsha,onitsha,Onitsha,NG,,Africa/Lagos,6.15,6.79,1553000
mianyang,mianyang,Mianyang,CN,Sichuan,Asia/Shanghai,31.47,104.68,1550000
akl,auckland,Auckland,NZ,,Pacific/Auckland,-36.85,174.76,1547200
isfahan,isfahan,Isfahan,IR,,Asia/Tehran,32.65,51.67,1547164
wanzhou,wanzhou,Wanzhou,CN,,Asia/Shanghai,30.76,108.4,1545900
astana,astana,Astana,KZ,,Asia/Almaty,51.18,71.45,1544142
harare,harare,Harare,ZW,,Africa/Harare,-17.83,31.05,1542813
monrovia,monrovia,Monrovia,LR,,Africa/Monrovia,6.3,-10.8,1542549
putian,putian,Putian,CN,Fujian,Asia/Shanghai,25.44,119.01,1539389
kawasaki,kawasaki,Kawasaki,JP,Kanagawa,Asia/Tokyo,35.52,139.72,1538262
goiania,goiania,Goiânia,BR,,America/Sao_Paulo,-16.68,-49.25,1536097
sanantonio,sanantonio,San Antonio,US,Texas,America/Chicago,29.42,-98.49,1526656
kobe,kobe,Kobe,JP,,Asia/Tokyo,34.69,135.18,1525152
sto,stockholm,Stockholm,SE,,Europe/Stockholm,59.33,18.07,1515017
ciudadjuarez,ciudadjuarez,Ciudad Juárez,MX,,America/Ciudad_Juarez,31.72,-106.46,1512450
cantho,cantho,Cần Thơ,VN,,Asia/Ho_Chi_Minh,10.04,105.79,1507187
muc,munich,Munich,DE,,Europe/Berlin,48.14,11.58,1505005
khulna,khulna,Khulna,BD,,Asia/Dhaka,22.81,89.56,1500689
belem,belem,Belém,BR,Para,America/Belem,-1.46,-48.5,1499641
yekaterinburg,yekaterinburg,Yekaterinburg,RU,,Asia/Yekaterinburg,56.86,60.62,1495066
portoalegre,portoalegre,Porto Alegre,BR,,America/Sao_Paulo,-30.03,-51.23,1488252
yinchuan,yinchuan,Yinchuan,CN,,Asia/Shanghai,38.47,106.27,1487579
manhattan,manhattan,Manhattan,US,New York,America/New_York,40.78,-73.97,1487536
nashik,nashik,Nashik,IN,,Asia/Kolkata,20,73.79,1486053
